SampleID,qPCR16S
1757H,1950482.858
1757I,10929488.56
1757J,19799630.39
1757K,29695758.02
1757L,29198098.77
1757M,7929897.396
1757N,26259122.64
1757O,21011587.64
1757P,64753457.45
1757Q,48432728.53
1757R,19357347.91
1757S,18526951.8
1757T,21419666.67
1757U,7852157.104
1766A,1846392.511
1766B,2455989.159
1766C,750469.5925
1766D,153775.4645
1766F,4798.561012
1766G,1410.476635
1766H,624.338319
1766I,27294.77828
1766J,2207288.098
1766K,121057.4367
1766L,33900.33173
1766M,22256.56213
1766N,39905.73165
1772B,475058.1244
1772D,124707.3871
1772E,131926.6348
1772F,45006.88844
1772G,31364.60741
1772H,23120.33555
1772I,42263.26997
1773B,16913347.25
1773C,47786393.81
1773D,52494933.58
1773E,44744419.79
1773F,13485284.46
1773G,18554772.87
1773H,19720245
1773I,35982961.19
1773J,13043270.32
1773K,26988237.4
1773L,6348191.432
1773M,17047304
1773N,135122460.7
1773O,20222334.87
1773P,79153862.28
1774A,33159761.76
1774B,33738317.85
1795A,33602596.08
1795B,247093160.9
1795C,658891731.7
1795D,5736598864
1795E,8173068800
1799A,65176957.35
1799B,69621534.16
1799C,6074766106
1842A,12092903.94
1842AA,15701648.12
1842B,7143749.763
1842BB,62930283
1842C,12734252.57
1842CC,28795095.62
1842D,10370411.07
1842DD,358034.1831
1842E,8823728.046
1842EE,13952481.33
1842F,13394202.4
1842G,179116.3108
1842GG,66803950.96
1842H,161721.5055
1842HH,41896656.8
1842I,49696.28142
1842II,49790646.53
1842JJ,56838389.94
1842KK,139461742.4
1842LL,43297401.83
1842MM,118417177.4
1842NN,72590093.96
1842O,6324.51757
1842P,63006.35075
1842Q,1054195.965
1842R,26256581.83
1842S,19102433.07
1842T,42522426.85
1842U,76169226.95
1842V,133389053.5
1842W,56004222.94
1842X,122851571.2
1842Y,95964859
1842Z,70877673.76
1912A,48262764.64
1912B,0
1912C,7576.668601
1913A,23986097.85
1921L,7517.553656
1921M,3006.541386
1921N,30951.82571
1921O,32356.86529
1921P,23155.02952
1927A,975751263.3
1930A,1288822.306
1930B,15247661.2
1930C,5679.707905
1930D,231937857.7
1930E,2308832048
1930F,803812398.4
1949A,191302000
1949B,53663732.39
1949C,49236339.23
